County,State,,,Time,Cases
Los Angeles,California,3,1,1,1
Los Angeles,California,3,2,2,1
Los Angeles,California,3,3,3,1
Los Angeles,California,3,4,4,7
Los Angeles,California,3,5,5,11
Los Angeles,California,3,6,6,13
Los Angeles,California,3,7,7,14
Los Angeles,California,3,8,8,14
Los Angeles,California,3,9,9,19
Los Angeles,California,3,10,10,20
Los Angeles,California,3,11,11,28
Los Angeles,California,3,12,12,32
Los Angeles,California,3,13,13,40
Los Angeles,California,3,14,14,53
Los Angeles,California,3,15,15,69
Los Angeles,California,3,16,16,94
Los Angeles,California,3,17,17,144
Los Angeles,California,3,18,18,190
Los Angeles,California,3,19,19,231
Los Angeles,California,3,20,20,292
Los Angeles,California,3,21,21,351
Los Angeles,California,3,22,22,421
Los Angeles,California,3,23,23,536
Los Angeles,California,3,24,24,662
Los Angeles,California,3,25,25,799
Los Angeles,California,3,26,26,1216
Los Angeles,California,3,27,27,1465
Los Angeles,California,3,28,28,1804
Los Angeles,California,3,29,29,2136
Los Angeles,California,3,30,30,2474
Los Angeles,California,3,31,31,3011
Los Angeles,California,4,1,32,3518
Los Angeles,California,4,2,33,4045
Los Angeles,California,4,3,34,4566
Los Angeles,California,4,4,35,5277
Los Angeles,California,4,5,36,5940
Los Angeles,California,4,6,37,6360
Los Angeles,California,4,7,38,6910
Los Angeles,California,4,8,39,7530
Los Angeles,California,4,9,40,7955
Los Angeles,California,4,10,41,8430
Los Angeles,California,4,11,42,8873
