county,state,month,day,Time,cases
New York City,New York,3,1,1,1
New York City,New York,3,2,2,1
New York City,New York,3,3,3,2
New York City,New York,3,4,4,2
New York City,New York,3,5,5,4
New York City,New York,3,6,6,5
New York City,New York,3,7,7,12
New York City,New York,3,8,8,14
New York City,New York,3,9,9,20
New York City,New York,3,10,10,37
New York City,New York,3,11,11,52
New York City,New York,3,12,12,96
New York City,New York,3,13,13,155
New York City,New York,3,14,14,269
New York City,New York,3,15,15,330
New York City,New York,3,16,16,464
New York City,New York,3,17,17,645
New York City,New York,3,18,18,1339
New York City,New York,3,19,19,2468
New York City,New York,3,20,20,4408
New York City,New York,3,21,21,6211
New York City,New York,3,22,22,9045
New York City,New York,3,23,23,12305
New York City,New York,3,24,24,14905
New York City,New York,3,25,25,20011
New York City,New York,3,26,26,23112
New York City,New York,3,27,27,25399
New York City,New York,3,28,28,30766
New York City,New York,3,29,29,33768
New York City,New York,3,30,30,38087
New York City,New York,3,31,31,43139
New York City,New York,4,1,32,47440
New York City,New York,4,2,33,51810
New York City,New York,4,3,34,57160
New York City,New York,4,4,35,63307
New York City,New York,4,5,36,67552
New York City,New York,4,6,37,68776
New York City,New York,4,7,38,76876
New York City,New York,4,8,39,81803
New York City,New York,4,9,40,87028
New York City,New York,4,10,41,92384
New York City,New York,4,11,42,98308
