State,Month,Day,Time,Cases,Deaths
New York,3,1,1,1,0
New York,3,2,2,1,0
New York,3,3,3,2,0
New York,3,4,4,11,0
New York,3,5,5,22,0
New York,3,6,6,44,0
New York,3,7,7,89,0
New York,3,8,8,106,0
New York,3,9,9,142,0
New York,3,10,10,173,0
New York,3,11,11,217,0
New York,3,12,12,326,0
New York,3,13,13,421,0
New York,3,14,14,610,2
New York,3,15,15,732,6
New York,3,16,16,950,10
New York,3,17,17,1374,17
New York,3,18,18,2382,27
New York,3,19,19,4152,30
New York,3,20,20,7102,57
New York,3,21,21,10356,80
New York,3,22,22,15168,122
New York,3,23,23,20875,159
New York,3,24,24,25665,218
New York,3,25,25,33066,325
New York,3,26,26,38987,432
New York,3,27,27,44635,535
New York,3,28,28,53363,782
New York,3,29,29,59568,965
New York,3,30,30,67174,1224
New York,3,31,31,75832,1550
New York,4,1,32,83889,1941
New York,4,2,33,92770,2653
New York,4,3,34,102870,2935
New York,4,4,35,114996,3568
New York,4,5,36,122911,4161
New York,4,6,37,130703,4758
New York,4,7,38,140081,5563
New York,4,8,39,149401,6268
New York,4,9,40,159937,7067
New York,4,10,41,170512,7844
New York,4,11,42,180458,8627
